CustomerID,Age,Salary,Gender,Geography,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn
1,56,138859,Female,France,8,190404.9,3,0,1,125285,0
2,69,138557,Female,Spain,6,59409.39,1,1,0,45338,1
3,46,103969,Female,France,0,182054.09,1,0,0,98027,1
4,32,73001,Male,Spain,0,91945.78,2,0,1,122772,1
5,60,106552,Male,Germany,8,158076.46,2,1,0,143632,1
6,25,53897,Male,Spain,8,158382.43,2,0,1,110135,1
7,38,98148,Male,France,3,133943.67,2,0,0,49508,0
8,56,53483,Male,France,8,22572.44,2,1,1,33051,1
9,36,78555,Male,Germany,2,208825.62,3,0,0,78747,0
10,40,47159,Male,Spain,6,80195.02,1,0,1,144692,0
11,28,140510,Male,Spain,5,46629.63,1,0,0,117142,0
12,28,136530,Male,Germany,7,10193.79,1,1,1,117235,1
13,41,110077,Female,Spain,8,147723.24,1,0,1,84021,0
14,53,65920,Male,Spain,4,169391.09,2,1,0,96412,0
15,57,122067,Female,France,0,4146.96,1,0,0,88335,1
16,41,97121,Female,Spain,2,128023.26,3,0,1,86179,0
17,20,99479,Female,Spain,9,56623.94,3,0,0,62093,0
18,39,119475,Male,Germany,7,161293.2,1,1,1,99678,1
19,19,49457,Male,Germany,5,43591.61,1,0,0,110738,0
20,41,96557,Male,France,7,172734.43,3,0,1,69734,0
21,61,107189,Male,Spain,8,96683.84,3,1,1,102615,0
22,47,139109,Female,Spain,3,234182.5,2,0,1,103523,1
23,55,108953,Male,Spain,0,34380.24,3,1,1,135103,1
24,19,82995,Male,France,0,85266.59,2,1,1,124476,1
25,38,70757,Male,France,9,28368.38,2,0,1,132769,0
26,50,39692,Male,Germany,3,231173.4,2,1,0,47019,0
27,29,75758,Male,France,6,219334.84,2,0,0,141721,1
28,39,102409,Female,Spain,1,64485.41,2,1,0,113613,0
29,61,101211,Male,Spain,2,164996.01,1,1,1,121794,0
30,42,95697,Female,France,0,204305.55,3,0,1,116672,1
31,66,67065,Male,Spain,4,138800.2,2,1,1,103847,1
32,44,122093,Female,Spain,0,132412.64,3,1,1,112750,0
33,59,129299,Male,France,7,60463.07,3,1,0,109634,0
34,45,62606,Male,France,0,23275.69,2,1,0,58251,0
35,33,41534,Female,Spain,0,224303.94,1,1,1,133481,1
36,32,124663,Female,Spain,1,225104.51,2,0,0,142566,1
37,64,70397,Female,Spain,1,158275.36,1,1,0,55945,1
38,68,121387,Male,Germany,5,84757.45,3,0,1,120852,1
39,61,31016,Female,Germany,6,87302.39,1,1,0,62217,0
40,69,119789,Male,Germany,4,181488.92,1,0,1,38308,1
41,20,85591,Male,France,0,224277.56,1,0,0,35949,1
42,54,119812,Female,Germany,0,221771.61,3,1,1,81990,1
43,68,53247,Female,France,2,194968.89,3,1,1,31150,1
44,24,54300,Male,France,1,160507.91,1,1,1,119480,1
45,38,104065,Male,Germany,4,21034.99,1,0,1,130235,0
46,26,112798,Female,Germany,9,40407.18,2,1,0,104740,0
47,56,39268,Female,Germany,5,224638.55,1,0,1,146352,1
48,35,116807,Female,Spain,6,151607.26,2,0,1,96617,0
49,21,42185,Male,Germany,3,2299.26,1,0,1,124841,1
50,42,93704,Male,Spain,6,25367.89,2,1,0,46896,1
