House_Size,Bedrooms,Location_Score,Age_of_House,Nearby_Amenities,House_Price
3974,2,3.641393572462343,89,7,600952.0748524484
1660,4,1.12671840443576,62,4,282286.5167106383
2094,1,2.7895816367992463,97,7,312087.88604894525
1930,4,7.4020775747378496,1,8,399896.32644694386
1895,2,8.11157986478085,27,1,338976.8400317751
3892,2,6.453639773029103,62,6,615423.1945235265
2438,1,9.336707906620141,77,8,398453.63018602546
2969,2,6.8596932295175,3,5,488802.76419257704
1266,5,9.234637079894027,70,4,260579.77583430297
2038,2,8.650347200108193,72,2,336794.58660201647
1130,4,5.045056067243831,27,6,219924.5396810713
2282,4,1.8586910484137018,9,6,398840.5789863572
2935,4,4.3373642697843975,62,1,486368.50347188977
3971,4,7.019571273972465,37,9,662902.379870387
3719,5,6.99330120955747,97,6,596717.5597266483
930,3,6.321680089369544,51,3,192657.68263134922
2485,1,3.4724961369105776,44,4,392454.88364719576
1569,4,6.0511908326293105,24,4,332216.90630692913
3191,2,4.446341872784108,79,3,474196.00775633944
2315,4,9.745408858501934,59,3,419680.91671289166
3653,2,8.640224418394755,32,3,604310.0311634969
3233,2,7.495565690483859,96,4,503020.64129295124
2015,4,3.123864277740602,88,7,336974.4435736497
1755,5,3.3046149048519156,52,4,311475.8209473857
3124,2,1.3639023058458821,62,9,463055.74942938343
1984,2,7.3959660071720865,58,1,319106.254754734
1259,4,1.998017387306482,52,8,242484.4214097356
821,2,4.954028516791931,12,7,187640.43162200364
3100,2,2.8154728210185658,39,2,479846.1722085892
1547,4,9.061872361061674,2,8,337395.33244675654
3704,4,5.278332008639006,3,1,650331.0405080934
1274,1,6.069480147787453,56,9,221135.5327572688
1882,5,7.259644777835147,81,9,345982.3906913558
3358,5,2.2539830896528814,59,2,541375.9024994096
2847,2,6.439756413500355,2,7,498318.5391631881
3547,5,5.858569821715058,2,3,612853.8372808477
1775,2,2.8275510226129246,92,7,274449.04874405544
2606,1,9.485682135021829,54,9,419886.1147376131
989,4,6.389789198396824,87,4,188162.93362984664
3805,4,7.253064397357341,96,1,601521.6200959383
3534,4,8.92421055113732,97,2,568046.4829866464
3805,5,6.619186433204139,1,1,650593.358682016
1362,1,3.660703172539426,19,5,227009.78210385298
2699,5,1.9494483384724355,2,5,465462.03072276193
2067,5,5.108811134346192,53,7,349913.3731898527
3679,1,2.9659639349515023,44,9,569999.6361563288
2328,1,4.748589530833296,90,9,366906.2455495774
1446,1,8.949522330269815,32,3,258293.50141064066
2868,1,3.9191051890474657,70,3,437146.6514542571
3688,4,2.09879159230606,32,3,582891.9492611254
